NO,시군구,단지명,도로명,위도,경도,bus_count_500m,CCTV_count,school_count,streetlight_count,safety_score_raw,safety_score_normalized,safety_score,동,cluster
7081,서울특별시 은평구 불광동,(281-115),진흥로15길 15,37.6106918,126.9316675,14,202,1,0,0.900722288,0.374318055,68.71590274,불광동,0
7087,서울특별시 종로구 숭인동,종로유케이201,난계로29길 33-4,37.57383855,127.021307,11,271,73,0,1.261024249,0.524848456,76.24242278,숭인동,0
7096,서울특별시 도봉구 도봉동,포레라스,도봉로163길 8-10,37.67656053,127.0440489,11,0,0,0,0.409108898,0.168927108,58.4463554,도봉동,0
7098,서울특별시 용산구 원효로3가,아인하우스,원효로 103-3,37.53260528,126.9551897,7,301,5,100,1.058578814,0.440268864,72.01344322,원효로3가,0
7121,서울특별시 강동구 천호동,(191-22),진황도로27가길 17-10,37.53943108,127.1309855,12,298,0,0,0.999908977,0.415757219,70.78786093,천호동,0
7127,서울특별시 강동구 천호동,어바니엘,천호대로161길 21,37.5382306,127.1288459,15,274,0,0,1.066898223,0.443744627,72.18723133,천호동,0
7131,서울특별시 강동구 길동,다성 이즈빌,천중로40길 67,37.53810018,127.1380572,9,274,0,0,0.843747915,0.350514756,67.52573779,길동,0
7136,서울특별시 영등포구 영등포동2가,한가람 더원 301동,국회대로56길 32,37.52246924,126.9103421,11,192,0,192,1.178956441,0.490561382,52.169648355999996,영등포동2가,1
7155,서울특별시 구로구 오류동,글로리로뎀큐,고척로1길 9-1,37.49518546,126.8403132,7,316,1,0,0.852163327,0.354030627,67.70153136,오류동,0
7157,서울특별시 영등포구 영등포동7가,금강하우징,국회대로56길 12,37.52408415,126.9092116,10,211,2,126,1.044585073,0.434422425,50.204784888999995,영등포동7가,1
7159,서울특별시 금천구 가산동,킹캐슬2차,가산로7길 77,37.47355137,126.8894903,11,132,0,1,0.65648327,0.27227754,63.61387702,가산동,0
7172,서울특별시 관악구 봉천동,마에스트로캠퍼스타운,남부순환로 1773,37.48223029,126.947375,10,360,1,0,1.045479313,0.43479603,50.217861035999995,봉천동,1
7177,서울특별시 관악구 신림동,더하우스,봉천로12길 57,37.48619731,126.9302647,14,430,0,0,1.319514909,0.549285243,54.224983512,신림동,1
7180,서울특별시 영등포구 당산동,한가람 The First Ⅱ,국회대로55길 18-1,37.52686932,126.9080345,11,170,2,124,1.001305445,0.416340648,49.571922687,당산동,1
7184,서울특별시 영등포구 양평동6가,엠케이유앤미,양평로30길 32,37.54267159,126.8886602,6,98,0,136,0.69786463,0.289566241,45.134818428,양평동6가,1
7194,서울특별시 관악구 봉천동,(1563-8),쑥고개로 59-5,37.47989353,126.9430976,7,332,28,0,1.010772002,0.420295677,49.710348695,봉천동,1
7199,서울특별시 강남구 역삼동,대우디오빌플러스,강남대로84길 33,37.49758298,127.0311104,22,240,0,0,1.264076878,0.526123812,53.414333426999995,역삼동,1
7201,서울특별시 강남구 역삼동,에스케이허브 오피스텔,선릉로 431,37.50354893,127.0490614,8,239,5,0,0.765402624,0.317782911,46.122401870999994,역삼동,1
7202,서울특별시 영등포구 신길동,클래시안 아이비,신길로34길 5,37.50532082,126.911687,8,298,1,7,0.870978749,0.361891514,47.666202997,신길동,1
7203,서울특별시 송파구 삼전동,잠실 아레나,백제고분로21길 7-1,37.50465467,127.0896814,10,212,0,2,0.770063123,0.319730018,46.190550637,삼전동,1
7209,서울특별시 영등포구 양평동4가,금강하우징,선유로53길 16-7,37.53803371,126.8966999,14,134,11,134,1.110482079,0.461953507,51.168372751999996,양평동4가,1
