NO,시군구,단지명,도로명,위도,경도,bus_count_300m,CCTV 300m 카메라 대수,300m 학교 수,반경 300m 가로등 개수,,bus_count_500m,CCTV 카메라 대수,500m 학교 수,반경 500m 가로등 개수
1562,서울특별시 성동구 성수동1가,청호 서울숲 뜨레피움 오피스텔,상원6나길 24,37.54787782,127.0500654,0,98,0,0,,3,275,3,42
1568,서울특별시 구로구 구로동,태천대,시흥대로 525,37.48044615,126.8989345,1,79,0,0,,13,281,1,0
1572,서울특별시 구로구 구로동,한나래16차,시흥대로161길 62,37.47886342,126.8962224,4,109,1,0,,15,277,2,0
1576,서울특별시 강서구 마곡동,매그넘793,강서로 401,37.5615327,126.838767,4,26,0,0,,9,83,2,0
1579,서울특별시 영등포구 영등포동3가,소담더블린,영등포로 264,37.51853094,126.9106724,5,100,0,63,,15,238,1,167
1581,서울특별시 영등포구 영등포동8가,엠캐슬150,영중로 131,37.52812378,126.9054105,4,69,1,0,,10,158,3,46
1583,서울특별시 영등포구 영등포동1가,여의도 포레디움,경인로 892,37.51783377,126.9117821,6,92,0,80,,15,266,7,202
1584,서울특별시 영등포구 영등포동7가,청호오피스텔,버드나루로7길 12-18,37.5239874,126.9090039,2,81,0,37,,9,219,2,124
1585,서울특별시 구로구 오류동,현대 썬앤빌 구로,경인로19가길 40,37.49705384,126.8447487,4,110,1,0,,9,290,1,19
1590,서울특별시 금천구 독산동,1동,범안로12길 50,37.46440291,126.892669,0,63,0,0,,8,165,1,0
1591,서울특별시 금천구 독산동,미림A클래스13차,두산로9길 34,37.47192023,126.8931702,4,76,0,0,,11,183,2,0
1592,서울특별시 금천구 독산동,그랑드오피스텔,범안로 1189,37.46672854,126.8938914,2,113,2,0,,8,213,2,0
1597,서울특별시 영등포구 영등포동3가,여의도 센트럴 큐브스테이트,경인로 883-2,37.51811629,126.9107755,5,105,0,63,,16,252,1,164
1601,서울특별시 영등포구 영등포동6가,양우화인텔,영등포로35길 10,37.52091472,126.9043427,9,95,0,0,,16,267,1,0
1607,서울특별시 영등포구 영등포동1가,봉주르오피스텔,경인로112길 17,37.5180193,126.9148764,6,60,6,188,,12,173,7,283
1609,서울특별시 강서구 마곡동,마곡에비앙,강서로 411,37.56238603,126.8390266,6,20,0,0,,9,71,2,0
1610,서울특별시 금천구 시흥동,(882-15),시흥대로70길 4-8,37.45626205,126.9005542,7,113,0,0,,23,303,2,0
1611,서울특별시 구로구 구로동,성강케렌시아,구로동로40길 2,37.49561276,126.8828847,5,147,0,2,,16,401,1,10
1612,서울특별시 금천구 가산동,가산 지웰 에스테이트 2차,가산로9길 12-8,37.47745643,126.8909465,12,85,0,0,,22,244,1,8
1617,서울특별시 구로구 오류동,몽삐에뜨8차,경인로 226-7,37.49651258,126.8462443,3,91,0,6,,8,281,1,36
1628,서울특별시 금천구 독산동,엠제트하우스,범안로15길 8-13,37.46732155,126.8936586,2,99,2,0,,9,221,2,0
1636,서울특별시 강서구 등촌동,태양빌딩,공항대로 445,37.55482766,126.856645,3,54,0,0,,7,129,2,0
1638,서울특별시 은평구 대조동,보성 리엔빌,통일로65길 1,37.60902483,126.9306539,9,84,0,0,,13,235,2,0
1639,서울특별시 강서구 화곡동,남광아파트,월정로20길 51,37.53001654,126.8415916,7,91,0,0,,11,506,1,0
1642,서울특별시 강서구 화곡동,원타워 5차 오피스텔,화곡로 289,37.55032649,126.8480287,2,75,1,0,,4,215,2,0
1644,서울특별시 강서구 가양동,동양 트레벨 스카이 오피스텔,양천로57길 9-19,37.56371169,126.8509197,6,22,1,0,,13,73,11,14
1645,서울특별시 서대문구 연희동,스페이스엠,증가로 52,37.57254546,126.9291247,0,73,0,0,,0,191,0,26
1647,서울특별시 강서구 염창동,리젠펠리스오피스텔,양천로77길 76,37.55009431,126.8762784,3,55,0,49,,6,174,1,158
1650,서울특별시 은평구 응암동,타미에코빌,응암로21가길 1-6,37.59454237,126.9164123,5,119,0,0,,15,316,2,0
1655,서울특별시 서대문구 대현동,영타운 지웰 에스테이트,이화여대5길 35,37.55813109,126.9437578,6,93,0,0,,13,275,2,0
1659,서울특별시 서초구 서초동,더?서초,서초중앙로 14,37.48354166,127.0176761,8,42,0,0,,16,142,1,0
1660,서울특별시 영등포구 신길동,루나플라체,영등포로 395,37.51366154,126.9220993,4,97,2,10,,9,235,2,102
1661,서울특별시 영등포구 신길동,엔-씨티오피스텔,영등포로 353,37.51507115,126.9180949,5,95,11,6,,8,266,15,125
1662,서울특별시 동작구 사당동,(1007-19),사당로30길 29-4,37.48345651,126.9811496,2,115,0,0,,5,298,0,0
1663,서울특별시 관악구 봉천동,관전 G타워,남부순환로218길 27,37.48003652,126.9505017,8,98,0,0,,13,303,2,0
1664,서울특별시 관악구 봉천동,미래오피스텔,봉천로 454,37.48210898,126.9502099,4,140,0,0,,11,354,2,0
1666,서울특별시 관악구 봉천동,봉천동 1661-4 업무시설 (김경국),남부순환로 1904,37.47784002,126.9607884,3,161,1,0,,6,401,2,0
1667,서울특별시 강남구 삼성동,(143-19),테헤란로69길 10,37.50661012,127.0527784,4,72,0,0,,9,236,0,0
1668,서울특별시 서초구 서초동,강남역 I'PARK,서초대로77길 62,37.50274823,127.0239118,17,100,0,0,,29,306,2,0
1669,서울특별시 영등포구 대림동,유탑유블레스,도림천로19길 12,37.48691946,126.900555,0,140,1,29,,16,356,1,62
1672,서울특별시 관악구 신림동,(1420-19),봉천로20길 45,37.48599493,126.9313134,6,125,0,0,,15,431,0,0
1673,서울특별시 관악구 신림동,삼모 더 프라임 타워,신원로 35,37.48223946,126.9289186,6,113,0,0,,11,352,0,0
1675,서울특별시 강남구 논현동,강남구청역 에스케이 허브 블루,학동로 342,37.51668735,127.0405907,4,101,0,0,,7,245,0,0
1676,서울특별시 송파구 잠실동,나인팰리스,삼전로7길 9,37.50529685,127.0874782,5,85,0,0,,8,201,0,6
1682,서울특별시 영등포구 양평동3가,양평동 우림보보카운티 오피스텔,양산로7길 3,37.52578596,126.887161,0,100,1,0,,6,195,1,0
1692,서울특별시 송파구 방이동,잠실 리버리치,오금로11길 65,37.51514548,127.1140576,4,63,0,0,,10,137,0,0
1695,서울특별시 성동구 마장동,(777-3),마장로46길 4,37.56738833,127.0457308,0,73,0,35,,2,189,2,85
1697,서울특별시 중구 황학동,소미골드라인,마장로18길 16-1,37.56709772,127.0229182,6,97,0,0,,10,284,17,0
1704,서울특별시 종로구 숭인동,삼전솔하임4차,지봉로4길 13,37.57135218,127.0167171,0,64,104,0,,5,259,108,0
1708,서울특별시 중랑구 상봉동,대성쉐르빌,면목로96길 34,37.59612035,127.0875832,3,125,0,0,,11,289,1,0
1710,서울특별시 동대문구 장안동,J빌딩,답십리로 271-6,37.57295949,127.0708432,0,72,0,0,,0,223,0,3
1712,서울특별시 중구 무학동,유진빌딩,다산로 239,37.56448492,127.0157831,3,145,19,0,,4,393,55,0
1713,서울특별시 동대문구 휘경동,-330,이문로 22,37.58963794,127.0557586,3,104,1,26,,8,305,18,26
1714,서울특별시 중랑구 면목동,중랑 지웰 에스테이트,면목로69길 16,37.58722429,127.0866402,2,158,1,0,,3,456,2,0
1727,서울특별시 용산구 문배동,이안 용산1차,백범로90길 74,37.53788471,126.9703956,5,89,0,43,,15,232,1,54
1729,서울특별시 종로구 숭인동,종로대우디오빌,종로 344,37.57280738,127.016075,2,81,70,0,,5,239,108,0
1731,서울특별시 강북구 미아동,수유역푸르지오시티,도봉로 290,37.63418846,127.0238609,4,103,0,0,,7,287,0,0
1736,서울특별시 중랑구 망우동,YMS HILL,상봉로28길 21,37.59598649,127.0942129,5,122,0,0,,14,275,5,0
1746,서울특별시 중구 오장동,이지마루 오장,마른내로 126-1,37.56441091,127.0019637,1,104,1,0,,5,282,2,0
1749,서울특별시 동대문구 청량리동,포레스타,약령시로 125,37.58340336,127.0439693,7,49,0,0,,15,189,19,0
1750,서울특별시 도봉구 창동,보성오피스텔,도봉로110나길 5,37.64660911,127.0342995,4,0,0,0,,4,0,2,0
1753,서울특별시 종로구 숭인동,헤스티아,종로56길 37,37.57146438,127.0165127,1,65,104,0,,5,257,108,0
1754,서울특별시 동대문구 휘경동,프리미어 M 회기,망우로21길 63,37.58993714,127.0594842,3,121,0,0,,6,292,3,17
1759,서울특별시 동대문구 장안동,가우디트윈캐슬2,한천로24길 74-9,37.5681962,127.0683827,0,74,1,0,,2,217,2,0
1766,서울특별시 종로구 창신동,화인비스타 비,종로 339-12,37.5735413,127.0149477,2,86,70,0,,5,259,74,0
1770,서울특별시 서초구 방배동,방배 리더스빌,남부순환로 2201,37.47418967,126.9931131,3,47,5,0,,5,70,6,0
1773,서울특별시 영등포구 당산동6가,다빈치,양평로 8,37.53264596,126.9051445,3,92,1,10,,13,145,2,120
1774,서울특별시 영등포구 양평동4가,밀레니엄,선유로53길 7,37.53700767,126.8975498,5,64,9,52,,15,142,11,130
1776,서울특별시 송파구 석촌동,(175-6),백제고분로39길 10-6,37.50538763,127.1053062,4,56,0,6,,13,174,0,10
1777,서울특별시 서초구 방배동,반포래디앙 시그니처,방배중앙로 208,37.49770925,126.9854141,3,110,0,52,,5,206,1,92
1779,서울특별시 관악구 봉천동,예성 아이 라이프,남부순환로 1798,37.4812081,126.9498721,8,107,0,0,,13,334,1,0
1783,서울특별시 관악구 봉천동,반석오피스텔,봉천로 348,37.48438952,126.9386887,4,128,0,0,,12,358,2,0
1791,서울특별시 강남구 역삼동,강남 IBC 오피스텔,테헤란로7길 8,37.4997636,127.0310723,6,79,0,0,,19,268,0,0
1795,서울특별시 영등포구 양평동3가,그랜드타워,양산로9길 15,37.52680365,126.888592,1,70,1,0,,4,203,1,0
1796,서울특별시 서초구 서초동,강남역 2차 I'PARK,서초대로77길 59,37.50230077,127.0239922,18,95,0,0,,29,309,2,0
1798,서울특별시 영등포구 당산동,더로드,버드나루로23길 23-7,37.52889711,126.9072319,3,58,1,16,,11,149,2,132
1799,서울특별시 영등포구 양평동1가,성운타운,영등포로13길 7,37.52325715,126.8888979,4,93,0,0,,9,233,3,0
1800,서울특별시 영등포구 양평동1가,성운타운2,영등포로13길 12-2,37.52341808,126.8893901,5,92,0,0,,8,231,2,0
1804,서울특별시 송파구 잠실동,파로스타워,도곡로64길 7-1,37.5055241,127.0784775,0,36,0,0,,0,103,0,0
1805,서울특별시 송파구 잠실동,팍스빌딩,삼전로7길 15,37.50545719,127.0869143,4,92,0,0,,8,193,0,6
1812,서울특별시 구로구 구로동,골드마인(Ⅲ)오피스텔,디지털로32다길 50,37.48099894,126.8986476,3,84,0,0,,17,259,1,0
1813,서울특별시 구로구 구로동,미주프라자,가마산로27길 52,37.49910484,126.8907458,2,109,7,0,,4,374,10,4
1814,서울특별시 구로구 오류동,프리가,경인로20가길 23,37.49587033,126.8450653,4,112,0,0,,5,331,1,21
1815,서울특별시 금천구 독산동,루나플라체,범안로18길 8,37.46607416,126.8957436,4,123,0,0,,11,260,3,0
1824,서울특별시 구로구 오류동,이좋은집,경인로20나길 30,37.49482835,126.8420249,5,138,0,0,,6,351,1,0
1825,서울특별시 영등포구 영등포동2가,프리스틴,영등포로53길 32,37.52094402,126.9098616,3,101,0,5,,13,217,0,174
1827,서울특별시 영등포구 영등포동8가,신현빌,영중로 134,37.52816194,126.9060387,4,78,1,0,,10,162,3,70
1833,서울특별시 강서구 마곡동,롯데캐슬 르웨스트,마곡중앙로 111,37.56388905,126.8262372,0,15,0,0,,4,62,1,0
1835,서울특별시 금천구 시흥동,HEY NEST,금하로5길 13,37.45404818,126.8983422,9,37,0,0,,22,169,0,0
1839,서울특별시 은평구 응암동,응암아네스트,은평로 123,37.6005227,126.921535,7,95,0,0,,12,280,19,0
1840,서울특별시 은평구 대조동,이지플오피스텔,통일로67길 12-10,37.6111949,126.9277127,6,97,1,0,,13,239,2,0
1841,서울특별시 강서구 등촌동,길훈엔트런스빌,양천로 492,37.56089498,126.8545874,6,31,8,10,,13,78,30,42
1842,서울특별시 강서구 등촌동,강변샤르망3단지,공항대로45길 95,37.55913597,126.8568817,3,27,1,0,,14,102,22,16
1847,서울특별시 은평구 대조동,서원피렌체,진흥로 119-3,37.60764474,126.9234338,3,106,0,0,,8,303,1,0
1848,서울특별시 은평구 응암동,동화오피스텔,응암로 211-1,37.59092831,126.9169272,4,140,18,0,,11,365,20,0
1850,서울특별시 강서구 화곡동,(918-15),강서로7길 52-3,37.52949124,126.8446307,2,107,0,0,,8,371,1,12
1852,서울특별시 강서구 화곡동,세교예지안5차,곰달래로22길 27,37.52910427,126.8445705,2,90,0,0,,8,390,1,13
1854,서울특별시 강서구 등촌동,DongNam II,화곡로68길 149,37.55613276,126.8618688,2,40,1,0,,8,106,2,0
1856,서울특별시 양천구 목동,현대월드타워,목동서로 77,37.53598623,126.8780417,4,153,0,0,,8,288,2,0
1861,서울특별시 은평구 응암동,(120-14),응암로29길 11-6,37.59628838,126.9176681,7,110,19,0,,13,295,19,0
1862,서울특별시 서대문구 연희동,시아 루비움,연희로 183,37.57326918,126.9351436,0,49,0,0,,0,126,3,0
1867,서울특별시 은평구 역촌동,캐시아,진흥로1길 16,37.60172891,126.9188249,4,96,0,0,,14,319,20,0
1868,서울특별시 양천구 목동,목동대우마이빌,공항대로 552,37.5495046,126.8669065,2,134,1,0,,5,377,6,0
1871,서울특별시 은평구 신사동,담 벨리체,은평로 14,37.59725085,126.9100552,7,158,0,0,,15,334,1,0
1879,서울특별시 강동구 천호동,플래티넘7,진황도로27가길 21,37.53936119,127.1311234,2,138,0,0,,12,304,0,0
1881,서울특별시 강동구 길동,영무 엘리아트 오피스텔,양재대로111길 52,37.53780996,127.1369001,2,94,0,0,,10,262,0,0
1896,서울특별시 구로구 오류동,아델리아,경인로20가길 11,37.49565252,126.8443507,4,129,1,0,,6,344,1,11
1898,서울특별시 금천구 시흥동,지엠씨타워,금하로5길 7,37.45414491,126.8986071,10,47,0,0,,21,194,0,0
1901,서울특별시 금천구 시흥동,대동리버파크빌,시흥대로41길 49,37.44924355,126.9015522,9,107,5,0,,19,255,8,0
1902,서울특별시 성동구 마장동,트레저힐스,마장로 276,37.56536042,127.0404072,0,99,1,16,,0,261,8,20
1908,서울특별시 관악구 봉천동,(1529-68),쑥고개로 43-1,37.47941201,126.9413968,2,156,0,0,,6,358,28,0
1909,서울특별시 관악구 봉천동,(854-4),남부순환로224길 19,37.48005059,126.953424,7,96,1,0,,13,326,2,0
1910,서울특별시 관악구 봉천동,보성오피스텔,관악로25길 17,37.48495212,126.9542354,4,161,0,0,,7,311,3,0
1911,서울특별시 관악구 봉천동,신원메트로빌,남부순환로 1811,37.48173549,126.9514458,7,124,0,0,,13,336,2,0
1912,서울특별시 관악구 봉천동,(62-23),관악로 208-32,37.4830148,126.9547689,5,148,1,0,,11,364,2,0
1913,서울특별시 마포구 동교동,더프라임,신촌로8길 5,37.55675486,126.9309245,3,100,1,0,,8,246,1,0
1914,서울특별시 마포구 합정동,스퀘어리버뷰합정,양화로 13,37.54879473,126.910533,5,56,0,75,,11,159,0,173
1916,서울특별시 양천구 신정동,보스코 빌딩,중앙로23길 30,37.51767008,126.853353,0,246,2,0,,4,620,3,0
1917,서울특별시 서대문구 대현동,이대프리젠#2,이화여대1길 32,37.55734607,126.9439865,8,115,0,0,,12,297,4,0
1922,서울특별시 강서구 화곡동,창우이지스,월정로18길 28,37.52920245,126.8403606,4,184,0,0,,12,653,1,0
1923,서울특별시 은평구 응암동,디우아르떼빌,응암로14길 7,37.59033259,126.9182409,3,142,18,0,,8,357,19,0
1930,서울특별시 마포구 아현동,아현시티,신촌로34길 11,37.55668041,126.9546681,3,112,70,0,,7,205,71,0
1936,서울특별시 은평구 대조동,세양 오피스텔,통일로67길 9-2,37.61061516,126.9283681,10,105,1,0,,13,231,2,0
1941,서울특별시 마포구 성산동,동우 자인채 스토리 상암,월드컵로34길 20,37.56540792,126.9042987,4,42,1,26,,9,138,2,68
1944,서울특별시 은평구 대조동,단홈그라치아,진흥로 177,37.60858974,126.9292756,7,99,0,0,,14,255,0,0
1950,서울특별시 은평구 대조동,위산 엘리시움,서오릉로 78,37.60729211,126.9223578,3,116,0,0,,6,297,1,0
1952,서울특별시 강서구 화곡동,브릴리언트 화곡,강서로5가길 37-5,37.52874329,126.8460496,2,138,0,10,,5,377,1,13
1953,서울특별시 서대문구 연희동,(413-126),성산로 309,37.56663378,126.9247922,4,67,1,0,,4,183,1,6
1955,서울특별시 강서구 등촌동,루나클래식,양천로60길 13,37.55787452,126.8595366,0,30,0,0,,10,95,3,0
1959,서울특별시 성북구 석관동,브룩스톤오피스텔,한천로66길 189,37.61317319,127.0656782,4,114,0,37,,5,245,5,102
1960,서울특별시 동대문구 제기동,에코시티,고산자로 521,37.58614505,127.0381038,0,120,18,18,,6,261,18,34
1963,서울특별시 동대문구 용두동,청계다우 아트리체 디벨,청계천로 503,37.57065199,127.032424,3,106,0,2,,6,241,1,42
1965,서울특별시 은평구 녹번동,녹번동메카오피스텔,통일로 635,37.60352351,126.9346456,4,53,1,0,,8,193,2,0
1967,서울특별시 용산구 원효로1가,디아뜨 센트럴,원효로 268,37.54096323,126.970338,8,119,6,0,,16,334,21,22
1968,서울특별시 성동구 성수동1가,서울숲테라,아차산로1길 17,37.54961976,127.0461981,2,88,0,15,,4,223,0,123
1969,서울특별시 중랑구 상봉동,미소플러스,봉우재로33길 42-6,37.59410276,127.0884309,3,123,0,0,,12,355,1,0
1970,서울특별시 중랑구 망우동,효성 써너스빌 에코,망우로60길 37,37.59712505,127.0943563,7,94,0,0,,12,258,5,8
1976,서울특별시 노원구 공릉동,엘네스트빌 오피스텔,화랑로 465,37.61916243,127.0788973,5,93,0,18,,14,283,1,32
1978,서울특별시 동대문구 장안동,힐스테이트 장안 센트럴,장한로 110,37.57024877,127.0709681,0,64,0,0,,0,194,2,9
1981,서울특별시 동대문구 장안동,(432-10),천호대로83길 16,37.56291054,127.0648271,2,90,0,0,,5,207,1,0
1982,서울특별시 동대문구 장안동,슈프림오피스텔,한천로2길 94,37.56227101,127.0636668,3,80,0,0,,5,185,1,0
1988,서울특별시 성동구 용답동,시그너스,자동차시장1길 41,37.56115681,127.0623713,2,60,0,0,,4,155,1,0
1989,서울특별시 종로구 충신동,지오지안 대학로,율곡로14길 15-3,37.57541294,127.0031793,4,58,2,0,,9,151,3,0
1990,서울특별시 동대문구 답십리동,knktower,전농로 33,37.56777651,127.0566661,1,136,1,0,,6,294,1,0
2002,서울특별시 송파구 문정동,프라비다옥토,법원로4길 17,37.48318084,127.1224469,2,28,0,0,,5,88,4,0
2003,서울특별시 송파구 문정동,르피에드 문정,송파대로 141,37.48286697,127.1233666,2,33,0,0,,5,123,4,0
2013,서울특별시 송파구 거여동,APICE,위례서로 240,37.4858914,127.1419695,5,25,0,0,,10,104,37,0
2016,서울특별시 강동구 성내동,더존예가,천호옛17길 17-4,37.53714186,127.1247985,7,106,1,0,,13,292,1,1
2019,서울특별시 강동구 성내동,(80-3),올림픽로62길 5-8,37.53676737,127.1233672,4,109,1,0,,11,278,1,4
2021,서울특별시 강동구 길동,강동투웨니퍼스트,진황도로 81,37.53664947,127.1357343,4,72,0,0,,10,264,0,0
2027,서울특별시 구로구 천왕동,랑데르,오리로 1149,37.48652994,126.8381944,6,70,2,0,,12,159,12,0
2029,서울특별시 금천구 가산동,G밸리 노블루체 스위트,가산로9길 17,37.47662809,126.890994,10,65,0,0,,21,254,2,8
2030,서울특별시 구로구 오류동,중앙오피스텔,경인로22길 49,37.49634016,126.8464122,3,91,0,7,,8,283,1,36
2037,서울특별시 금천구 독산동,리치힐스,시흥대로102길 37-1,37.4652047,126.8982483,5,133,1,0,,11,319,1,0
2039,서울특별시 금천구 시흥동,센트로힐,금하로5길 18,37.45427845,126.8981993,9,43,0,0,,19,170,1,0
2041,서울특별시 구로구 구로동,그린플러스 구로 해담채2,가마산로27길 11-7,37.49717385,126.891381,4,91,7,0,,7,385,11,0
2042,서울특별시 구로구 구로동,하이빌골드타워,구로중앙로 107,37.49810984,126.8857654,4,174,1,0,,12,453,8,4
2044,서울특별시 강서구 방화동,벽산에어트리움,양천로 28,37.57235646,126.8069519,2,34,2,0,,3,92,4,8
2048,서울특별시 영등포구 영등포동2가,여의도 디앤써밋,버드나루로 23,37.52077151,126.9121694,4,61,0,124,,11,164,0,247
2054,서울특별시 관악구 봉천동,그린피아 오피스텔,관악로17길 25,37.48072578,126.9502734,7,99,0,0,,13,314,2,0
2055,서울특별시 강남구 대치동,대치3차 아이파크 오피스텔,영동대로85길 20,37.50705002,127.0618224,5,62,14,0,,14,160,15,0
2066,서울특별시 영등포구 당산동2가,미라클시티,영등포로22길 5,37.52088548,126.8944415,5,58,2,0,,7,202,2,0
2068,서울특별시 영등포구 양평동3가,파크뷰,선유로35길 25,37.52758056,126.8877087,0,58,1,0,,2,163,1,0
2069,서울특별시 영등포구 양평동1가,더스톤,선유로 113,37.52406672,126.8900827,4,101,1,0,,7,225,1,0
2070,서울특별시 영등포구 당산동5가,당산역 한강포스빌,양평로 67,37.53496431,126.8992484,8,56,1,20,,18,178,4,99
2073,서울특별시 관악구 신림동,더케이타워,남부순환로 1592-7,37.48333664,126.9279109,6,148,0,0,,11,385,0,0
2076,서울특별시 관악구 신림동,(1435-7),관천로10길 33-8,37.48561304,126.9273274,5,134,0,0,,12,477,0,0
2077,서울특별시 관악구 신림동,영지오피스텔,신림동길 7-1,37.48724019,126.9278038,4,113,0,0,,12,448,0,0
2079,서울특별시 관악구 봉천동,에스타워,남부순환로 1940,37.47634623,126.9641817,3,150,3,0,,5,306,4,0
2081,서울특별시 관악구 봉천동,삼일빌딩,쑥고개로 121,37.47914857,126.9500639,8,95,1,0,,12,292,1,0
2083,서울특별시 관악구 봉천동,(879-12),쑥고개로 101-6,37.47957194,126.9479458,5,97,0,0,,12,286,28,0
2085,서울특별시 관악구 봉천동,(877-4),남부순환로218길 32,37.47989815,126.9501434,8,97,0,0,,13,289,1,0
2087,서울특별시 영등포구 당산동,.,버드나루로23길 23-6,37.52878074,126.9070469,3,63,1,9,,12,156,2,125
2088,서울특별시 영등포구 당산동,프리가,버드나루로 131,37.5299146,126.9072131,2,43,1,39,,10,142,2,138
2095,서울특별시 서초구 서초동,피앤디 솔로빌,서초중앙로 58,37.48712987,127.0154611,5,81,0,0,,11,205,1,0
2097,서울특별시 영등포구 양평동2가,스카이시티,영등포로 14-3,37.52282377,126.8833028,2,59,5,9,,4,139,5,23
2099,서울특별시 관악구 봉천동,(1718-4),성현로 8,37.49189073,126.9446318,1,77,1,0,,5,197,29,0
2102,서울특별시 영등포구 당산동6가,더리버뷰,당산로50길 12,37.5343724,126.9039509,7,100,0,33,,11,146,3,92
2103,서울특별시 영등포구 도림동,도림동 하나아파텔(1차),도영로 16,37.50788588,126.8959588,0,70,0,58,,5,262,0,118
2107,서울특별시 영등포구 여의도동,나라키움여의도빌딩,여의대방로 376,37.51822188,126.9312426,6,26,0,3,,11,55,0,124
2109,서울특별시 관악구 봉천동,(896-29),청룡5길 21,37.48006759,126.9471518,4,111,0,0,,12,291,27,0
2110,서울특별시 관악구 봉천동,(881-8),쑥고개로21길 25-3,37.48006648,126.9478994,5,106,0,0,,13,307,28,0
2112,서울특별시 영등포구 당산동4가,(32-31),당산로38길 13-1,37.52880116,126.8996352,3,63,0,0,,9,148,2,0
2123,서울특별시 강동구 성내동,한양 립스,천호대로176길 10-10,37.53418501,127.1357768,3,82,0,0,,10,253,0,0
2129,서울특별시 서대문구 대현동,파크제이드 이화,이화여대5길 9,37.55823817,126.945176,7,90,1,0,,12,250,3,0
2131,서울특별시 강서구 염창동,한강 브루클린 하이츠,양천로 744,37.54854791,126.8782593,3,67,0,55,,7,258,0,127
2134,서울특별시 강서구 화곡동,클래시 936,월정로18길 6,37.52916699,126.8391933,4,299,0,0,,11,673,1,0
2135,서울특별시 강서구 화곡동,해평스퀘어,곰달래로16길 15,37.52939775,126.8404672,4,172,0,0,,12,615,1,0
2136,서울특별시 강서구 화곡동,프라임주택,강서로7길 108,37.5291463,126.8417511,6,107,0,0,,9,554,1,0
2137,서울특별시 강서구 화곡동,양지,강서로 191,37.54323998,126.8384722,7,100,0,0,,17,226,1,0
2141,서울특별시 양천구 신정동,헤리티지Ⅱ,목동서로 301-15,37.51948015,126.869278,3,168,1,8,,8,438,4,16
2149,서울특별시 강서구 등촌동,트라비하우스,화곡로68길 47,37.55891923,126.856467,3,29,1,0,,14,106,22,13
2154,서울특별시 마포구 노고산동,샬롬오피스텔,신촌로12다길 25,37.55474118,126.9340063,8,90,0,0,,16,252,3,0
2157,서울특별시 강서구 가양동,미씨엘로오피스텔,양천로 469-13,37.56290759,126.8533223,8,38,1,14,,16,70,12,76
2159,서울특별시 강서구 화곡동,동인오피스텔,화곡로42나길 14-21,37.54675207,126.8474837,3,106,0,0,,4,263,3,0
2165,서울특별시 동대문구 휘경동,휘경내일연가,망우로21나길 14,37.59087167,127.0610369,2,93,0,0,,4,243,2,0
2166,서울특별시 은평구 불광동,샹그리라,통일로66길 10-1,37.61059186,126.9314776,7,74,0,0,,14,221,1,0
2168,서울특별시 중구 만리동1가,서울역 디오빌,만리재로 193,37.55501771,126.9672218,1,145,12,0,,5,417,18,0
2176,서울특별시 중구 흥인동,-91,퇴계로 409,37.56580723,127.0170025,4,137,1,0,,6,393,88,0
2178,서울특별시 동대문구 용두동,동대문한양아이클래스,왕산로 72,37.57771932,127.0313731,7,47,0,8,,12,144,1,41
2181,서울특별시 은평구 불광동,유니파크,불광로 137,37.61892562,126.9325216,0,76,1,0,,0,185,3,0
2185,서울특별시 성동구 행당동,왕십리 큐브스테이트,무학봉28길 30,37.56105578,127.0342521,4,175,0,12,,6,439,7,12
2188,서울특별시 중구 광희동1가,동대문D플레이스,을지로44길 18-4,37.56541762,127.0063133,3,99,0,0,,6,259,25,0
2189,서울특별시 성동구 성수동1가,아트빌딩,서울숲길 45,37.5481484,127.0426825,0,97,0,0,,1,172,5,79
2190,서울특별시 강북구 미아동,스카이캐슬포레,도봉로 282,37.63355184,127.0237483,4,110,0,0,,7,290,0,0
2194,서울특별시 중랑구 상봉동,동일스카이시티 105동,면목로92길 16,37.59498236,127.0869041,4,124,0,0,,9,323,2,0
2196,서울특별시 동대문구 답십리동,청계 푸르지오시티,천호대로 257,37.56896858,127.0505968,0,78,0,27,,1,189,1,69
2197,서울특별시 중랑구 상봉동,동인씨엘로102동,면목로92라길 15,37.59572972,127.0866743,3,130,0,0,,9,308,1,0
2200,서울특별시 강북구 수유동,스카이뷰,도봉로77길 26,37.63384655,127.0218954,2,98,0,0,,6,279,0,0
2208,서울특별시 강서구 공항동,세종에어포트원,방화동로 18-3,37.56273966,126.8099305,5,89,1,6,,10,188,3,10
2209,서울특별시 영등포구 영등포동7가,한가람 더원 103동,버드나루로11길 10,37.52469581,126.9081212,6,92,1,23,,10,219,2,109
2211,서울특별시 구로구 오류동,락스테이,고척로1길 17,37.49501656,126.8398778,3,109,0,0,,7,314,1,0
2214,서울특별시 영등포구 영등포동8가,리마크빌 영등포,영중로 119,37.52674981,126.9050365,10,98,1,0,,10,173,2,16
2216,서울특별시 금천구 가산동,가산피어니빌,디지털로12길 37,37.47725692,126.8903286,12,71,0,1,,20,224,0,14
2217,서울특별시 금천구 가산동,램킨푸르지오시티,벚꽃로56길 182,37.47968209,126.888324,14,82,0,3,,22,301,0,16
2220,서울특별시 영등포구 영등포동1가,여의도더리브스타일,경인로 900,37.51775341,126.9131372,4,64,0,115,,12,225,7,247
2223,서울특별시 구로구 구로동,구일 투웨니퍼스트 하이앤드,구일로 90-11,37.49364968,126.8728949,0,69,6,20,,0,108,6,42
