NO,시군구,단지명,도로명,위도,경도,bus_count
458,서울특별시 강동구 고덕동,고덕 센트럴 푸르지오,고덕로 399,37.5576094801473,127.170103050262,5
465,서울특별시 송파구 방이동,잠실 리미티드 리버틴,오금로11길 61-17,37.5158205246786,127.114141332941,4
467,서울특별시 강동구 천호동,드림하우스,천호대로161길 15-6,37.5380913090738,127.128680610542,7
469,서울특별시 송파구 문정동,송파한화오벨리스크,충민로 5,37.4800951997748,127.119683417898,2
471,서울특별시 종로구 숭인동,그레이스탑,종로65길 12-10,37.5751019253886,127.020274448148,4
472,서울특별시 종로구 숭인동,아이비씨 호텔 앤 오피스텔,난계로 241,37.5732567576208,127.022853443199,4
473,서울특별시 광진구 구의동,테라펠리스 건대 3차,아차산로55길 11,37.5379679066242,127.086394239893,4
474,서울특별시 광진구 구의동,솔렌시아,자양로 154,37.5412695715072,127.083963812744,5
475,서울특별시 성북구 동선동4가,삼선새마을금고본사 사옥,아리랑로 16,37.5942332081741,127.016520559107,4
476,서울특별시 성북구 석관동,filif,화랑로 230,37.6096626106589,127.055242159876,0
477,서울특별시 종로구 내수동,광화문시대,사직로8길 42,37.5738287682638,126.97314755078,4
478,서울특별시 동대문구 용두동,청계 다우아트리체,청계천로 505,37.5708378703107,127.032742015281,2
479,서울특별시 동대문구 용두동,동대문베네스트2,왕산로 77,37.5784138355966,127.031932045353,5
480,서울특별시 광진구 구의동,리버 비스타 구의,아차산로 417,37.5381490743457,127.08897397822,3
481,서울특별시 종로구 창신동,화인비스타 에이,종로 339-10,37.5735515436974,127.015134374241,2
483,서울특별시 동대문구 휘경동,리브인,망우로21길 26,37.5906735376163,127.061734238817,3
484,서울특별시 성북구 보문동5가,스텔라153,보문로 75,37.5820065871023,127.020885522519,4
485,서울특별시 중구 광희동2가,동원스위트광희,퇴계로 329-5,37.5648005800764,127.008327770825,4
490,서울특별시 동대문구 이문동,(257-18),이문로 145,37.5995845601975,127.061663351871,0
491,서울특별시 도봉구 방학동,방학신화 하니엘시티,노해로63가길 229,37.6624149282989,127.044133204141,5
494,서울특별시 동대문구 장안동,센트럴장안오피스텔,한천로24길 77,37.5691066785101,127.068970811731,0
495,서울특별시 광진구 구의동,구의동 벨라로사 오피스텔,아차산로 405,37.5377740102517,127.087618715091,2
497,서울특별시 동대문구 신설동,스테이 하이 오피스텔,한빛로 20,37.5774188173898,127.025468429192,8
