NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
9970,서울특별시 관악구 신림동,1420-21,1420,21,(1420-21),월세,18.81,202410,23,"3,000",37,4,2002,신림로66길 31,202410~202510,신규,-,,
9978,서울특별시 서초구 서초동,1589-3,1589,3,서초아트갤러리,월세,22.85,202410,23,"1,000",88,14,2018,반포대로12길 23,202411~202511,신규,-,,
9995,서울특별시 영등포구 여의도동,61,61,0,여의도금호리첸시아,전세,35.9,202410,23,"26,000",0,7,2003,여의동로 213,202411~202611,신규,-,,
10009,서울특별시 관악구 봉천동,1659-4,1659,4,동림오피스텔,월세,24.24,202410,22,"1,000",70,10,2004,남부순환로 1924,202411~202610,신규,-,,
10016,서울특별시 관악구 신림동,1639-50,1639,50,예온펠리스,월세,18.08,202410,22,"5,000",50,14,2021,남부순환로 1590-7,202411~202611,신규,-,,
10017,서울특별시 관악구 신림동,613-1,613,1,드림타운,월세,31.56,202410,22,"21,800",16,5,2020,법원단지2길 14,-,-,-,,
10021,서울특별시 동작구 노량진동,Nov-37,37,11,다컴37,월세,30.89,202410,22,"1,000",192,12,2024,노량진로12길 16-1,202411~202511,신규,-,,
10024,서울특별시 관악구 신림동,1655-18,1655,18,신림동삼오오피스텔,월세,18.56,202410,22,500,45,5,2001,조원로2길 22,202410~202610,신규,-,,
10034,서울특별시 영등포구 도림동,195-5,195,5,에스제이팰리스,월세,35.64,202410,22,"3,000",98,2,2019,도영로 65,202411~202611,신규,-,,
10035,서울특별시 송파구 잠실동,313-1,313,1,나라키움 송파 복합관사,월세,39.96,202410,22,"2,000",134,5,2021,백제고분로 140,202411~202610,신규,-,,
10036,서울특별시 송파구 잠실동,176-2,176,2,잠실동 렉스빌2차,전세,47.24,202410,22,"40,000",0,10,2013,백제고분로7길 3-10,202411~202611,신규,-,,
10055,서울특별시 송파구 거여동,26-5,26,5,잭타워,월세,34.21,202410,22,500,60,2,2023,오금로59길 4,202410~202610,신규,-,,
10072,서울특별시 서대문구 연희동,79-32,79,32,헤리티지,월세,45.39,202410,22,"3,000",190,3,2023,연희로24길 3,202411~202611,신규,-,,
10081,서울특별시 서대문구 대현동,37-66,37,66,더펜타,월세,16.04,202410,22,"3,000",72,5,2023,이화여대5길 32,202411~202512,신규,-,,
10090,서울특별시 양천구 목동,721-5,721,5,목동토레스타워,월세,53.06,202410,22,"15,000",30,3,2018,등촌로 106,202412~202612,신규,-,,
10094,서울특별시 마포구 성산동,Feb-51,51,2,골든빌오피스텔,월세,24.38,202410,22,"1,000",50,8,2004,월드컵북로12안길 89,202410~202610,신규,-,,
10098,서울특별시 서대문구 창천동,20-41,20,41,아남오피스텔,월세,28.5,202410,22,"1,000",85,9,2004,신촌로 121,202411~202511,신규,-,,
10101,서울특별시 서대문구 홍은동,274-32,274,32,서대문 노블루체,전세,29.55,202410,22,"23,000",0,2,2018,연희로 265,202412~202612,신규,-,,
10104,서울특별시 성동구 성수동1가,72-71,72,71,청재오피스텔,월세,34.16,202410,22,"3,000",120,3,1997,뚝섬로3길 13,202411~202611,신규,-,,
10109,서울특별시 성동구 상왕십리동,12-47,12,47,센트럴큐브,전세,30.81,202410,22,"25,000",0,5,2019,난계로24길 19,202411~202511,갱신,-,"25,000",0
10111,서울특별시 은평구 불광동,285-11,285,11,경인에버빌,전세,20.82,202410,22,"19,000",0,4,2022,통일로 708-8,202412~202612,신규,-,,
10117,서울특별시 동대문구 장안동,367-5,367,5,유원블리스장안,전세,43.6,202410,22,"32,200",0,9,2024,장한로26가길 6,202412~202612,신규,-,,
10120,서울특별시 광진구 구의동,251-157,251,157,아델리아 구의타워,월세,18.74,202410,22,"1,000",64,3,2010,자양로 156,202411~202511,신규,-,,
10132,서울특별시 중구 필동1가,03-05,3,5,브릴란테 남산,월세,33.16,202410,22,"34,000",10,12,2023,수표로2길 22,202411~202611,신규,-,,
10135,서울특별시 광진구 자양동,680-12,680,12,큐브스테이트,전세,23.13,202410,22,"21,000",0,5,2018,자양로16길 16,202412~202612,신규,-,,
