NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
816,서울특별시 영등포구 영등포동2가,28-114,28,114,리치스퀘어,전세,33.21,202412,17,"28,300",0,8,2020,버드나루로3길 7,202502~202702,신규,-,,
820,서울특별시 금천구 독산동,967-14,967,14,(967-14),월세,16.81,202412,17,"4,000",43,4,2021,시흥대로 482,202412~202612,신규,-,,
821,서울특별시 강서구 마곡동,776-4,776,4,엠코지니어스타,월세,24.83,202412,17,500,80,4,2015,강서로 471,202412~202512,신규,-,,
826,서울특별시 영등포구 영등포동5가,88,88,0,휴젠느,월세,36.92,202412,17,"24,600",22,3,2019,영중로22길 5,202501~202701,신규,-,,
827,서울특별시 구로구 신도림동,433-24,433,24,힐스테이트 신도림역 센트럴,월세,29.99,202412,17,"5,000",130,6,2023,경인로 625,202412~202512,신규,-,,
828,서울특별시 강서구 방화동,498-4,498,4,라테라스,월세,41.26,202412,17,"3,000",110,2,2020,양천로 19,202412~202612,신규,-,,
830,서울특별시 금천구 독산동,330-13,330,13,한별 #3,월세,47.94,202412,17,"7,982",82,2,2022,두산로10길 9,202501~202702,신규,-,,
831,서울특별시 강남구 역삼동,832-33,832,33,성우스타우스오피스텔,전세,32.03,202412,17,"19,800",0,9,2004,역삼로4길 16,202412~202612,신규,-,,
832,서울특별시 영등포구 당산동4가,Apr-37,37,4,(37-4),월세,15.68,202412,17,"8,000",30,8,2003,국회대로29길 8,202501~202701,신규,-,,
834,서울특별시 강남구 자곡동,600,600,0,강남 푸르지오시티 1차,전세,24.57,202412,17,"15,500",0,9,2014,자곡로 191,202501~202701,신규,-,,
839,서울특별시 관악구 신림동,538-39,538,39,위드비엠3,전세,29.4,202412,17,"22,000",0,4,2021,난곡로65길 13,202502~202702,신규,-,,
840,서울특별시 영등포구 신길동,116-17,116,17,라온아토,전세,29.67,202412,17,"30,000",0,7,2022,도신로60길 7,202501~202701,신규,-,,
841,서울특별시 동작구 사당동,1007-25,1007,25,이수 월든빌,전세,18.18,202412,17,"20,000",0,9,2024,사당로30길 35-4,202501~202701,신규,-,,
842,서울특별시 영등포구 당산동,171-30,171,30,엠캐슬123,전세,19.85,202412,17,"19,300",0,4,2021,국회대로53길 24-10,202501~202701,신규,-,,
844,서울특별시 서초구 서초동,1338-1,1338,1,풍림아이원플러스,월세,39.56,202412,17,"25,200",5,7,2004,효령로77길 14,202412~202612,신규,-,,
846,서울특별시 서초구 서초동,1588-1,1588,1,(1588-1),월세,24.59,202412,17,"1,000",57,8,1991,반포대로14길 54,202412~202612,신규,-,,
847,서울특별시 서초구 서초동,1327-23,1327,23,강남아르젠,월세,20.73,202412,17,"1,000",76,3,2014,강남대로55길 9-7,202412~202512,신규,-,,
848,서울특별시 서초구 서초동,1677-1,1677,1,브라운스톤서초,월세,53.82,202412,17,"2,000",160,4,2006,서초대로 334,202501~202601,신규,-,,
849,서울특별시 동작구 사당동,1007-3,1007,3,엘리지움,월세,22.95,202412,17,"10,000",23,4,2012,동작대로23길 7,202501~202701,갱신,사용,"10,000",20
850,서울특별시 강남구 삼성동,157-14,157,14,현대썬앤빌 삼성역,월세,22.05,202412,17,"3,000",104,4,2019,테헤란로83길 19,202412~202512,신규,-,,
851,서울특별시 관악구 봉천동,1659-10,1659,10,동남오피스텔,월세,18.17,202412,17,"2,500",34,6,2001,봉천로 585,202501~202701,신규,-,,
853,서울특별시 관악구 봉천동,858-6,858,6,WD세븐스,월세,17.22,202412,17,"22,500",5,8,2020,관악로 186,202502~202702,신규,-,,
857,서울특별시 관악구 봉천동,878-7,878,7,금탑오피스텔,월세,17.36,202412,17,"1,000",50,3,2005,청룡7길 50,202412~202512,신규,-,,
861,서울특별시 영등포구 신길동,235-4,235,4,정원쉐르빌,월세,17.8,202412,16,"12,000",15,6,2014,신길로38길 12,202501~202701,신규,-,,
862,서울특별시 영등포구 당산동,121-127,121,127,오피스텔저절로,전세,20.95,202412,16,"18,000",0,6,2013,버드나루로17길 12,202501~202701,갱신,-,"17,000",0
863,서울특별시 영등포구 양평동3가,56,56,0,에버하임,전세,31.66,202412,16,"32,300",0,3,2021,선유로35길 25-1,202502~202602,신규,-,,
864,서울특별시 송파구 신천동,11-08,11,8,더?스타리버,전세,40.72,202412,16,"38,000",0,2,2006,올림픽로35길 93,202501~202701,신규,-,,
865,서울특별시 동작구 대방동,337-1,337,1,대방오피스텔,월세,22.23,202412,16,"1,000",50,8,2003,상도로12길 24,202412~202512,신규,-,,
866,서울특별시 관악구 신림동,1432-19,1432,19,아일라,월세,7.92,202412,16,"4,000",35,4,2018,신림동3길 13-4,202501~202701,신규,-,,
867,서울특별시 관악구 신림동,1655-10,1655,10,(1655-10),월세,19.6,202412,16,"9,300",8,6,2001,조원로2길 14,202412~202612,갱신,-,"9,500",3
868,서울특별시 송파구 잠실동,194,194,0,잠실아이파크,월세,24.42,202412,16,"15,000",65,8,2013,올림픽로8길 20,202502~202702,신규,-,,
869,서울특별시 서초구 서초동,1321-9,1321,9,풍림아이원매직,월세,26.72,202412,16,"18,000",25,5,2004,강남대로55길 24,202501~202701,신규,-,,
871,서울특별시 강남구 논현동,202-10,202,10,리체힐 신논현 오피스텔A동,전세,24.88,202412,16,"27,000",0,8,2018,봉은사로 123,202502~202702,신규,-,,
874,서울특별시 송파구 잠실동,40,40,0,갤러리아팰리스,월세,43.84,202412,16,"22,000",72,9,2005,올림픽로 212,202412~202612,갱신,-,"22,000",67
875,서울특별시 관악구 봉천동,921-25,921,25,태양,월세,14.98,202412,16,"11,900",20,6,2019,남부순환로208길 17-5,202501~202701,신규,-,,
876,서울특별시 관악구 봉천동,1566-16,1566,16,대학캠퍼스텔,월세,18.09,202412,16,"5,000",25,2,2001,쑥고개로21길 5,202502~202702,신규,-,,
878,서울특별시 영등포구 양평동6가,81,81,0,금강노블레스,전세,31.47,202412,16,"35,500",0,9,2022,양평로30길 28,202502~202702,신규,-,,
879,서울특별시 송파구 잠실동,180-2,180,2,SJ 에비뉴힐스,월세,22.58,202412,16,"1,000",105,10,2024,백제고분로7길 23,202412~202512,신규,-,,
881,서울특별시 영등포구 대림동,706-3,706,3,대동빌딩,전세,22.81,202412,16,"11,000",0,10,2004,도림로 148,202502~202702,신규,-,,
885,서울특별시 강남구 대치동,938,938,0,삼환 아르누보2,월세,26.42,202412,16,"1,000",120,6,2004,도곡로 405,202412~202512,신규,-,,
888,서울특별시 영등포구 양평동4가,197-2,197,2,리엔츠캐슬,전세,21.95,202412,16,"22,000",0,3,2020,선유로51길 28,202503~202703,신규,-,,
890,서울특별시 영등포구 여의도동,13-16,13,16,여의도 플렉시움 오피스텔,월세,31.97,202412,16,"1,000",90,8,2003,국회대로72길 5,202501~202601,신규,-,,
892,서울특별시 영등포구 도림동,819,819,0,대우미래사랑,월세,29.57,202412,16,"10,000",30,7,2004,도영로 80,202501~202701,신규,-,,
894,서울특별시 송파구 송파동,58-15,58,15,트윈레이크팰리스빌,전세,37.46,202412,16,"29,500",0,8,2018,백제고분로45길 40,202503~202703,신규,-,,
896,서울특별시 송파구 석촌동,175-7,175,7,(175-7),월세,35.84,202412,16,"4,000",56,6,2004,백제고분로39길 10-10,202412~202612,갱신,-,"4,000",52
897,서울특별시 관악구 신림동,1667-9,1667,9,대광솔레 오피스텔,월세,22.68,202412,16,200,54,5,2002,남부순환로 1353,202412~202512,신규,-,,
898,서울특별시 관악구 신림동,1432-38,1432,38,아데나38,월세,15.72,202412,16,"1,000",75,4,2022,신림동1길 24,202412~202512,신규,-,,
899,서울특별시 강동구 강일동,679-1,679,1,강일큐브,월세,44.92,202412,16,"10,000",42,5,2012,아리수로 423,202502~202602,신규,-,,
900,서울특별시 강동구 강일동,677-2,677,2,아르페온1,전세,14.79,202412,16,"8,500",0,6,2015,아리수로91길 24-5,202412~202512,신규,-,,
906,서울특별시 송파구 문정동,652,652,0,송파법조타운푸르지오시티,월세,17.47,202412,16,"17,100",6,13,2018,법원로4길 5,202501~202701,신규,-,,
907,서울특별시 강동구 천호동,451,451,0,이안 강동 컴홈스테이,월세,26.6,202412,16,"24,000",15,9,2021,천호대로 1053,202501~202701,신규,-,,
909,서울특별시 송파구 방이동,42,42,0,잠실역 웰리지 더테라스,월세,22.06,202412,16,"1,000",110,16,2023,올림픽로34길 5-14,202412~202512,신규,-,,
911,서울특별시 강서구 염창동,241-11,241,11,맥시하우스,전세,15.6,202412,16,"15,500",0,8,2018,양천로63길 8,202502~202702,갱신,-,"15,000",0
912,서울특별시 강서구 화곡동,343-66,343,66,(343-66),월세,27.49,202412,16,"1,000",62,7,2004,곰달래로 123,202502~202702,신규,-,,
915,서울특별시 서대문구 대현동,27-51,27,51,에스엠케이타워,전세,17.59,202412,16,"20,000",0,7,2021,이화여대7길 46,202502~202702,신규,-,,
916,서울특별시 서대문구 대현동,90-47,90,47,에스엠더포레스트2차,월세,17.69,202412,16,"2,000",90,5,2023,이화여대1안길 21,202501~202601,갱신,-,"2,000",90
922,서울특별시 양천구 목동,908-29,908,29,하이베라스,전세,35.39,202412,16,"15,000",0,12,2003,목동서로 37,202501~202601,신규,-,,
923,서울특별시 양천구 목동,907-10,907,10,현대파리지앙,월세,37.78,202412,16,"10,000",35,14,2004,목동서로 57,202412~202512,갱신,-,"18,500",0
928,서울특별시 마포구 성산동,591-5,591,5,상암 스위트포레,월세,18.55,202412,16,"12,000",15,9,2016,월드컵로34길 7,202502~202702,신규,-,,
929,서울특별시 은평구 역촌동,41-23,41,23,지경인라지,월세,29.98,202412,16,"18,900",10,7,2017,진흥로3길 12-8,202501~202701,신규,-,,
930,서울특별시 은평구 불광동,281-37,281,37,(281-37),월세,41.61,202412,16,"1,000",43,6,2011,불광로 48-11,202412~202612,신규,-,,
933,서울특별시 마포구 신공덕동,167,167,0,메트로디오빌,월세,26.74,202412,16,"20,900",30,18,2005,백범로 199,202501~202701,신규,-,,
934,서울특별시 은평구 불광동,484-31,484,31,백마노블레스텔,월세,12.63,202412,16,500,40,5,2003,통일로 884,202412~202612,신규,-,,
936,서울특별시 강서구 가양동,251-2,251,2,세종보타닉2차,월세,29.98,202412,16,"21,000",13,12,2020,양천로47가길 32,202502~202602,신규,-,,
937,서울특별시 은평구 대조동,197-1,197,1,유진 아이디움,전세,17.14,202412,16,"15,400",0,8,2019,연서로28길 8,202502~202702,신규,-,,
938,서울특별시 마포구 노고산동,01-01,1,1,(1-1),월세,31.37,202412,16,"7,000",50,6,1998,신촌로 156,202412~202512,갱신,-,"7,000",50
939,서울특별시 은평구 진관동,100-4,100,4,어드벤스힐 오피스텔,전세,29.79,202412,16,"15,400",0,4,2013,진관1로 21-35,202502~202602,신규,-,,
940,서울특별시 강서구 등촌동,628-13,628,13,현대프린스텔,전세,29.81,202412,16,"9,000",0,4,1999,양천로 510,202501~202701,갱신,-,"9,000",0
941,서울특별시 은평구 응암동,749-15,749,15,진성위메이드,전세,42.64,202412,16,"23,000",0,4,2019,가좌로 191,202502~202702,신규,-,,
942,서울특별시 광진구 중곡동,648-12,648,12,마인하임648,전세,41.65,202412,16,"29,165",0,5,2017,능동로37길 10-4,202501~202701,신규,-,,
945,서울특별시 성동구 성수동1가,72-114,72,114,한스포레,월세,19.75,202412,16,"1,000",88,3,2019,뚝섬로 341,202412~202512,신규,-,,
946,서울특별시 성동구 성수동1가,26-3,26,3,EPISODE Seong Su 121,월세,17.17,202412,16,"1,000",106,4,2019,뚝섬로3길 22,202412~202509,신규,-,,
947,서울특별시 성동구 용답동,238-5,238,5,(238-5),월세,30.14,202412,16,"9,702",10,3,2021,자동차시장3길 93,202412~202612,신규,-,,
949,서울특별시 도봉구 창동,628-15,628,15,창동 노빌리티 캐슬 (Nobility Castle),전세,29.91,202412,16,"23,800",0,11,2022,도봉로104길 49-14,202501~202701,신규,-,,
952,서울특별시 도봉구 창동,623-49,623,49,우성오스빌,월세,41.6,202412,16,"13,000",10,4,2004,도봉로110마길 46,202501~202701,신규,-,,
953,서울특별시 동대문구 장안동,364-5,364,5,가우디오피스텔,월세,23.5,202412,16,"1,000",89,16,2020,장한로 80,202412~202612,신규,-,,
954,서울특별시 동대문구 장안동,374-1,374,1,장안현대벤처빌,월세,28.49,202412,16,500,55,13,2004,장한로 85,202412~202512,신규,-,,
956,서울특별시 도봉구 도봉동,596-3,596,3,신영오피스텔,월세,22.06,202412,16,500,44,2,2005,도봉로169나길 49,202412~202612,신규,-,,
957,서울특별시 노원구 상계동,1267,1267,0,토마토파르코,월세,36.77,202412,16,200,50,7,2005,동일로 1700,202412~202912,신규,-,,
961,서울특별시 중랑구 상봉동,102-109,102,109,이상부티끄타워,월세,19.47,202412,16,"13,000",20,3,2019,면목로96길 28,202501~202701,신규,-,,
962,서울특별시 강북구 번동,448-2,448,2,북한산드림캐슬,전세,24.09,202412,16,"7,600",0,7,2003,덕릉로 99,202501~202701,신규,-,,
965,서울특별시 중구 황학동,2022,2022,0,-2022,월세,41.75,202412,16,"24,300",15,3,2017,마장로13길 18,202501~202701,신규,-,,
966,서울특별시 종로구 숭인동,1392-1,1392,1,종로 아인스빌,월세,17.88,202412,16,"1,000",60,9,2013,난계로29가길 19,202412~202512,갱신,사용,"1,000",60
967,서울특별시 종로구 숭인동,1421-1,1421,1,종로 동광모닝스카이,월세,19.95,202412,16,"9,765",5,2,2013,난계로29가길 24,202412~202612,신규,-,,
968,서울특별시 종로구 숭인동,201-7,201,7,아폴리움 오피스텔,전세,15.2,202412,16,"13,000",0,6,2016,난계로29길 31,202502~202702,신규,-,,
972,서울특별시 성동구 성수동2가,289-290,289,290,테라289,월세,15.03,202412,16,"1,000",110,4,2021,아차산로5길 26,202412~202512,신규,-,,
973,서울특별시 동대문구 휘경동,336-32,336,32,캠퍼스드림오피스텔,전세,21.29,202412,16,"18,000",0,3,2020,이문로 10,202501~202701,신규,-,,
974,서울특별시 용산구 원효로1가,120-22,120,22,용산2차휴먼타운,전세,29.94,202412,16,"27,000",0,10,2018,백범로90라길 38,202501~202601,갱신,사용,"26,700",0
975,서울특별시 종로구 경운동,Apr-89,89,4,운현궁 에스케이 허브,월세,41.34,202412,16,"20,000",20,3,2005,삼일대로 461,202412~202512,신규,-,,
976,서울특별시 중랑구 면목동,616-32,616,32,리더스빌,전세,48.11,202412,16,"30,400",0,4,2018,면목로42길 15,202502~202702,신규,-,,
977,서울특별시 영등포구 영등포동7가,94-101,94,101,한가람 더원 201동,전세,23.52,202412,16,"25,700",0,7,2022,버드나루로 59,202502~202702,신규,-,,
980,서울특별시 금천구 가산동,141-2,141,2,가산 양우 내안애 애플,월세,17.35,202412,16,"5,500",28,7,2013,남부순환로 1266,202412~202512,신규,-,,
983,서울특별시 강서구 방화동,829-5,829,5,에어뷰21-1오피스텔,월세,26.86,202412,16,500,50,7,1999,금낭화로 145,202412~202512,신규,-,,
986,서울특별시 구로구 오류동,34-14,34,14,서연팰리스,전세,29.89,202412,16,"21,000",0,10,2022,경인로25길 8,202502~202702,신규,-,,
991,서울특별시 강서구 방화동,829,829,0,오피앙2,월세,22.5,202412,16,300,42,7,2002,금낭화로 287-50,202412~202512,신규,-,,
993,서울특별시 영등포구 영등포동2가,164,164,0,글로벌MJ10,전세,28.53,202412,16,"35,000",0,4,2024,영등포로 271,202501~202701,신규,-,,
994,서울특별시 구로구 고척동,76-183,76,183,대림리더스오피스텔,월세,17.67,202412,16,"2,000",50,4,2014,중앙로6길 22,202412~202512,신규,-,,
996,서울특별시 강서구 마곡동,773-1,773,1,마곡역센트럴푸르지오시티,월세,23,202412,16,"15,000",10,11,2016,마곡중앙6로 10,202501~202701,신규,-,,
1002,서울특별시 영등포구 영등포동7가,94-64,94,64,영등포 리버텔,월세,29.19,202412,16,"5,000",35,5,2004,버드나루로12길 8,202501~202601,갱신,-,"5,000",32
1004,서울특별시 금천구 독산동,998-6,998,6,미림A-클래스,월세,25.4,202412,16,"17,480",11,8,2019,두산로 10,202501~202701,갱신,-,"19,300",0
1005,서울특별시 금천구 독산동,332-24,332,24,씨티오피스텔,월세,23.37,202412,16,"1,000",55,2,2003,범안로11길 2,202412~202612,신규,-,,
1007,서울특별시 금천구 독산동,1006-97,1006,97,신독산역 갤러리 휴리움,전세,29.31,202412,16,"22,000",0,6,2022,벚꽃로10길 77,202502~202702,신규,-,,
1008,서울특별시 금천구 독산동,143-1,143,1,아네스트오피스텔,월세,17.24,202412,16,"8,000",17,6,2014,남부순환로 1314,202501~202701,갱신,-,"8,000",17
1011,서울특별시 영등포구 영등포동6가,Jun-96,96,6,퀸즈하우스,월세,29.44,202412,15,"22,590",16,2,2018,영신로38길 3,202501~202701,갱신,사용,"25,000",0
1013,서울특별시 금천구 독산동,336-5,336,5,유원블리스,월세,23.82,202412,15,"22,000",4,8,2021,두산로3길 7,202502~202702,신규,-,,
1016,서울특별시 금천구 가산동,535-156,535,156,이지크라운,전세,31.96,202412,15,"19,950",0,8,2019,가산디지털2로 169-41,202501~202701,신규,-,,
1017,서울특별시 은평구 대조동,15-127,15,127,엠케이뷰오피스텔,월세,15.95,202412,15,"18,500",8,7,2020,진흥로 187,202501~202701,신규,-,,
1018,서울특별시 강서구 염창동,264-35,264,35,성강에코텔,월세,47.41,202412,15,"5,000",76,4,2011,양천로 686-15,202412~202612,갱신,-,"5,000",71
1022,서울특별시 서초구 신원동,608,608,0,서초메트하임,전세,26.61,202412,15,"27,000",0,2,2021,청계산로 193,202501~202701,신규,-,,
1025,서울특별시 서초구 서초동,1337-6,1337,6,강남 효성 해링턴 타워,월세,26.27,202412,15,"23,400",10,13,2013,강남대로51길 10,202501~202701,신규,-,,
1026,서울특별시 영등포구 양평동5가,51,51,0,에듀시티에비앙,월세,28.6,202412,15,"2,000",110,3,2017,양평로 160,202412~202512,신규,-,,
1028,서울특별시 강동구 명일동,Jul-48,48,7,서희스타힐스,전세,49.96,202412,15,"32,000",0,15,2012,동남로 881,202502~202702,신규,-,,
1029,서울특별시 동대문구 제기동,1158-50,1158,50,메트로폴 스위트,전세,29.81,202412,15,"28,000",0,9,2021,왕산로 91,202502~202702,신규,-,,
1032,서울특별시 용산구 원효로1가,28-7,28,7,시온캐슬용산,전세,21.44,202412,15,"23,980",0,8,2021,원효로81길 3,202501~202701,신규,-,,
1035,서울특별시 성북구 하월곡동,90-260,90,260,갤럭시하월곡,전세,29.76,202412,14,"24,870",0,3,2020,종암로32길 12,202501~202701,신규,-,,
1037,서울특별시 광진구 자양동,861,861,0,자양 호반써밋,월세,18.74,202412,14,"5,000",79,13,2021,능동로 69,202501~202701,갱신,-,"5,000",74
1038,서울특별시 성북구 보문동2가,82,82,0,-82,월세,22.46,202412,14,"9,000",18,5,2002,지봉로23길 8,202412~202612,갱신,사용,"9,000",18
1041,서울특별시 중구 충무로3가,49,49,0,엘크루 메트로시티,전세,26.78,202412,14,"22,000",0,16,2013,충무로 13,202502~202702,신규,-,,
1044,서울특별시 성북구 삼선동5가,298-7,298,7,(298-7),월세,21.67,202412,14,"7,000",53,6,2014,보문로 171,202502~202702,신규,-,,
1048,서울특별시 중구 황학동,1229,1229,0,힐스테이트 청계 센트럴,월세,48.62,202412,14,"42,000",10,3,2024,마장로 95,202501~202701,신규,-,,
1049,서울특별시 종로구 원남동,95,95,0,코윈 팔레스뷰 오피스텔,전세,32.8,202412,14,"25,000",0,7,2003,창경궁로 146,202412~202512,신규,-,,
1051,서울특별시 동대문구 답십리동,530-4,530,4,보광타워,월세,17.51,202412,14,500,60,4,2019,황물로 90,202412~202512,신규,-,,
1052,서울특별시 성동구 도선동,285-1,285,1,위너스 오피스텔,월세,18.48,202412,14,"1,000",82,6,2021,왕십리로 340,202412~202512,갱신,-,"1,000",79
1053,서울특별시 광진구 자양동,219-22,219,22,더 트윈1,월세,19.89,202412,14,"10,900",39,5,2020,아차산로46가길 7,202501~202701,신규,-,,
1058,서울특별시 종로구 숭인동,317-58,317,58,동대문 아이리스,전세,25.34,202412,14,"24,900",0,7,2022,종로56길 33-5,202501~202701,신규,-,,
1060,서울특별시 중랑구 면목동,Feb-68,68,2,서일타운,월세,26.57,202412,14,"1,000",40,7,2002,상봉로 7,202412~202612,신규,-,,
1063,서울특별시 중랑구 상봉동,Jan-85,85,1,솔렌시아3,전세,58.02,202412,14,"29,000",0,3,2018,봉우재로49길 9,202501~202701,신규,-,,
1064,서울특별시 종로구 연지동,222,222,0,리베르떼_연지,전세,27.3,202412,14,"23,000",0,2,2019,종로31가길 23,202502~202702,신규,-,,
1065,서울특별시 성동구 성수동1가,72-69,72,69,성수동 뉴타운오피스텔,전세,31.6,202412,14,"21,500",0,2,2003,뚝섬로3길 17,202501~202701,신규,-,,
1070,서울특별시 노원구 상계동,341-5,341,5,큐비스트빌딩,월세,15.76,202412,14,500,49,5,2013,상계로 84,202412~202512,신규,-,,
1071,서울특별시 성동구 행당동,292-28,292,28,1동,전세,13.81,202412,14,"12,000",0,5,2020,왕십리로21길 13-22,202412~202812,갱신,-,"8,800",25
1073,서울특별시 중랑구 상봉동,89-27,89,27,브르넨상봉,월세,20.24,202412,14,500,100,14,2022,망우로52길 20,202412~202512,신규,-,,
1075,서울특별시 영등포구 문래동6가,26,26,0,문래동 대우 이안,전세,56.1,202412,14,"30,450",0,3,2004,문래로 41,202502~202702,신규,-,,
1077,서울특별시 관악구 신림동,1648-10,1648,10,백촌오피스텔,월세,18.24,202412,14,"1,000",55,7,2004,신사로 32,202412~202512,신규,-,,
1078,서울특별시 강남구 세곡동,587,587,0,강남 지웰파인즈,월세,24.66,202412,14,"5,000",65,6,2016,헌릉로569길 9,202501~202601,신규,-,,
1079,서울특별시 관악구 신림동,1568-5,1568,5,더위일관악파크뷰,전세,17.3,202412,14,"20,000",0,11,2021,난곡로 298,202412~202612,신규,-,,
1080,서울특별시 관악구 신림동,1463-16,1463,16,굿모닝 오피스텔,월세,15.48,202412,14,"3,000",60,7,2005,관천로 72,202412~202612,신규,-,,
1081,서울특별시 관악구 신림동,1655-8,1655,8,지벨리마인드2차,전세,18.69,202412,14,"19,425",0,13,2022,시흥대로 566,202501~202701,신규,-,,
1089,서울특별시 영등포구 당산동3가,06-03,6,3,당산동 디벨리움,전세,25.64,202412,14,"28,000",0,9,2019,양산로 141,202412~202612,갱신,-,"28,000",0
1091,서울특별시 영등포구 당산동,121-141,121,141,노들리안 오피스텔1,월세,29.8,202412,14,"10,000",30,12,2011,버드나루로 94-1,202501~202701,신규,-,,
1093,서울특별시 서초구 서초동,1675-11,1675,11,서초 대우아이빌,월세,34.96,202412,14,"1,000",100,3,2003,서초대로58길 10,202412~202512,신규,-,,
1094,서울특별시 서초구 서초동,1601-10,1601,10,서초어반하이 오피스텔,전세,19.3,202412,14,"21,000",0,19,2018,서초중앙로5길 10-7,202502~202702,신규,-,,
1096,서울특별시 강남구 역삼동,708-16,708,16,능현오피스텔,전세,29.65,202412,14,"19,800",0,12,2004,선릉로89길 16,202502~202702,신규,-,,
1101,서울특별시 영등포구 여의도동,May-44,44,5,힐스테이트 여의도 파인루체,전세,53.89,202412,14,"67,000",0,12,2023,여의대방로69길 19,202502~202702,신규,-,,
1102,서울특별시 영등포구 당산동6가,280-1,280,1,한강 더채움,월세,29.98,202412,14,"5,000",155,4,2022,당산로50길 8,202412~202512,신규,-,,
1103,서울특별시 관악구 봉천동,1666-51,1666,51,더헤르미온,월세,18.46,202412,14,"2,000",93,6,2021,남부순환로 1845,202412~202512,갱신,사용,"2,000",89
1105,서울특별시 영등포구 영등포동1가,26-1,26,1,여의도광장,월세,16.32,202412,14,"15,500",5,12,2020,경인로114길 20,202502~202702,신규,-,,
1106,서울특별시 금천구 독산동,1007-13,1007,13,e편한세상 독산 더타워,전세,26.22,202412,14,"16,200",0,10,2019,범안로 1212,202412~202512,갱신,-,"15,430",0
1108,서울특별시 금천구 독산동,336-29,336,29,메종에떼르넬,월세,28.98,202412,14,"20,000",4,4,2020,벚꽃로 180,202502~202702,갱신,사용,"20,000",0
1109,서울특별시 금천구 독산동,1006-74,1006,74,(1006-74),월세,24.18,202412,14,300,42,3,2002,범안로16길 24-19,202412~202512,신규,-,,
1110,서울특별시 금천구 독산동,292-11,292,11,디밸리,월세,20.11,202412,14,"14,700",10,10,2022,범안로21길 8,202502~202702,신규,-,,
1113,서울특별시 영등포구 영등포동8가,Jan-51,51,1,메이준,월세,17.44,202412,14,"1,000",65,8,2012,영중로 120,202412~202512,신규,-,,
1114,서울특별시 영등포구 영등포동8가,Jan-42,42,1,한양아이클래스 오피스텔,월세,19.86,202412,14,"12,600",7,7,2014,영신로 228-6,202501~202701,신규,-,,
1116,서울특별시 영등포구 영등포동6가,100,100,0,리저브오피스텔,월세,13.77,202412,14,"15,000",15,3,2018,영등포로33길 7,202501~202701,신규,-,,
1121,서울특별시 영등포구 영등포동7가,94-218,94,218,위더스하임 ll,전세,28.27,202412,14,"28,000",0,9,2021,국회대로56길 9,202501~202701,신규,-,,
1140,서울특별시 강서구 마곡동,797-14,797,14,힐스테이트에코마곡,월세,23.75,202412,14,"1,000",85,6,2016,공항대로 269-15,202412~202512,신규,-,,
1142,서울특별시 구로구 구로동,106-2,106,2,대림역포스큐,월세,19.02,202412,14,"10,700",13,4,2015,공원로 11,202501~202701,신규,-,,
1146,서울특별시 마포구 공덕동,463,463,0,마포현대하이엘,월세,31.38,202412,14,"6,000",63,13,2005,마포대로 173,202501~202601,신규,-,,
1147,서울특별시 강서구 화곡동,1051-1,1051,1,경동엠파이어시티 101동,월세,15.63,202412,14,500,50,13,2013,강서로 187,202412~202512,신규,-,,
1150,서울특별시 양천구 목동,605-11,605,11,석경트라움,월세,29.99,202412,14,"23,000",10,7,2016,목동중앙북로7나길 54,202501~202701,신규,-,,
1151,서울특별시 강서구 화곡동,367-51,367,51,골든빌,전세,28.55,202412,14,"24,800",0,3,2018,가로공원로 236-4,202412~202612,갱신,-,"25,300",0
1152,서울특별시 강서구 화곡동,1107-3,1107,3,연우넥스트뷰,월세,17.32,202412,14,"13,500",10,11,2018,공항대로46길 9,202501~202701,갱신,-,"15,000",3
1162,서울특별시 강서구 등촌동,820,820,0,경동미르웰 양천향교 101동,월세,14.33,202412,14,"12,500",7,10,2017,강서로68길 35,202501~202701,신규,-,,
1164,서울특별시 마포구 서교동,354-9,354,9,노벨리아 서교,월세,18,202412,14,"10,000",45,7,2018,홍익로5길 30,202501~202701,신규,-,,
1171,서울특별시 마포구 신공덕동,5-75,5,75,갑을명가시티1,월세,19.73,202412,14,"1,000",70,12,2016,만리재로 69,202501~202601,신규,-,,
1172,서울특별시 서대문구 연희동,122-3,122,3,정연 지오빌,월세,21.06,202412,14,"1,000",80,6,2002,증가로 15-1,202412~202612,신규,-,,
1178,서울특별시 서대문구 북아현동,154-6,154,6,헤센 스마트 더 센트럴,월세,20.98,202412,14,"29,000",5,16,2023,신촌로33길 16,202501~202701,신규,-,,
1179,서울특별시 강동구 천호동,425-3,425,3,천호역 한강 푸르지오시티,월세,25.06,202412,14,"16,000",15,8,2015,구천면로 192,202501~202701,신규,-,,
1188,서울특별시 송파구 방이동,Mar-41,41,3,보광스퀘어,월세,29.19,202412,14,"30,000",4,4,2023,올림픽로34길 5-29,202501~202701,신규,-,,
1192,서울특별시 강동구 천호동,414,414,0,두산위브센티움,전세,31.37,202412,14,"16,000",0,23,2004,올림픽로70길 61,202501~202701,신규,-,,
1210,서울특별시 강동구 길동,458,458,0,포유 르센티 길동,월세,32.49,202412,13,"3,000",130,13,2023,진황도로 104,202412~202512,신규,-,,
1214,서울특별시 강동구 강일동,677-5,677,5,유러피안하우스II,월세,15.36,202412,13,300,37,5,2013,아리수로91길 32-6,202412~202512,신규,-,,
