NO,단지명,도로명,지번주소,위도,경도,매물 ID,CCTV 카메라 대수
1992,더채움오피스텔,양산로 142,서울특별시 영등포구 당산동1가 260-0,37.52344096,126.8988405,1992,213
1993,하이캐슬,당산로31길 22-8,서울특별시 영등포구 당산동3가 395-21,37.52737643,126.8945877,1993,204
1994,갤럭시타워,버드나루로 90,서울특별시 영등포구 당산동 121-159,37.52633125,126.9090955,1994,166
1995,미림A클래스,범안로12가길 7,서울특별시 금천구 독산동 1006-3,37.46613981,126.8922915,1995,174
1996,에테르힐스,방화동로 22,서울특별시 강서구 공항동 45-11,37.56285638,126.8099538,1996,190
1997,쿠앤하우스,천왕로 42,서울특별시 구로구 천왕동 277-7,37.48129511,126.8389426,1997,96
1998,디에이원파크,가좌로 111,서울특별시 서대문구 홍은동 400-3,37.58237296,126.9257507,1998,287
1999,(24-576),화곡로42나길 6-3,서울특별시 강서구 화곡동 24-576,37.5468897,126.8464779,1999,253
2000,비원오피스텔,공항대로 525,서울특별시 강서구 등촌동 648-6,37.55147154,126.8649807,2000,235
2001,ATELIER MOKEN,신촌로 53,서울특별시 서대문구 창천동 112-23,37.5570699,126.9324223,2001,272
2002,한울팰리스,목동중앙북로7나길 36,서울특별시 양천구 목동 604-9,37.54990435,126.8659388,2002,360
2003,(188-3),연희로 95,서울특별시 서대문구 연희동 188-3,37.56661929,126.9303986,2003,209
2004,더존예가,올림픽로62길 9-6,서울특별시 강동구 성내동 81-2,37.53659139,127.1237307,2004,283
2005,세종보타닉1차,양천로47나길 17,서울특별시 강서구 마곡동 12-2,37.57162587,126.8386013,2005,94
2006,(1414-33),남부순환로185길 26,서울특별시 관악구 신림동 1414-33,37.48596346,126.932362,2006,444
2007,캐슬오피스텔,행운1나길 38,서울특별시 관악구 봉천동 62-43,37.48252055,126.9544112,2007,362
2008,(1417-28),신림로68길 29-8,서울특별시 관악구 신림동 1417-28,37.48714845,126.9309412,2008,435
2009,등촌동노블리움오피스텔,양천로 500,서울특별시 강서구 등촌동 628-0,37.56050669,126.8555791,2009,79
2010,아델스하임,강서로7길 98,서울특별시 강서구 화곡동 925-22,37.52917829,126.8422973,2010,502
2011,동양 오피스텔,연서로26길 9-3,서울특별시 은평구 대조동 197-5,37.61732783,126.9206829,2011,325
2012,디엔씨 노블레스,화곡로42길 25-6,서울특별시 강서구 화곡동 24-84,37.54634574,126.8471462,2012,267
2013,리치아파트 109동,곰달래로 68,서울특별시 강서구 화곡동 921-15,37.52997274,126.8403107,2013,569
2014,파크원,진흥로3길 8-5,서울특별시 은평구 역촌동 41-25,37.60192105,126.9194151,2014,322
2015,하나테크빌,은평로 94,서울특별시 은평구 응암동 111-13,37.59937682,126.9182129,2015,307
2016,수유동이테크밸리오피스텔,도봉로77길 6,서울특별시 강북구 수유동 95-7,37.63377025,127.0227982,2016,289
2017,크레신타워3차,아차산로 375,서울특별시 광진구 구의동 246-14,37.53704385,127.0843829,2017,72
2018,에스포레,성수일로1길 14,서울특별시 성동구 성수동1가 656-432,37.542146,127.047268,2018,243
2019,브릴란테 덕수궁,남대문로1길 14-1,서울특별시 중구 북창동 111-1,37.56175408,126.9779409,2019,188
2020,YN웰하우스,광나루로14길 15,서울특별시 광진구 화양동 19-39,37.54737906,127.0687936,2020,196
2021,(111-89),광나루로20길 34,서울특별시 광진구 화양동 111-89,37.54560096,127.073966,2021,51
2022,아스하임,올림픽로 663,서울특별시 강동구 천호동 432-7,37.54076766,127.1238589,2022,247
2023,아이파크뷰,성안로27길 63-19,서울특별시 강동구 천호동 167-104,37.53923739,127.1323446,2023,313
2024,유원블리스독산,두산로3길 16,서울특별시 금천구 독산동 335-23,37.47125129,126.8894193,2024,142
2025,리코하이빌,국회대로54길 73,서울특별시 영등포구 영등포동2가 28-132,37.51983962,126.9119617,2025,190
2026,케렌시아431,국회대로54길 46-1,서울특별시 영등포구 영등포동2가 431-2,37.52146523,126.909713,2026,220
2027,강남팰리스,송이로 107,서울특별시 송파구 가락동 57-8,37.49694012,127.1219239,2027,144
2028,삼성역 두산위브센티움,테헤란로83길 14,서울특별시 강남구 삼성동 158-4,37.50847749,127.0578867,2028,189
2029,(157-18),테헤란로83길 11,서울특별시 강남구 삼성동 157-18,37.50816424,127.0574691,2029,206
2030,(121-126),버드나루로17길 10,서울특별시 영등포구 당산동 121-126,37.52738712,126.9073442,2030,163
2031,신현빌5차,버드나루로15길 9,서울특별시 영등포구 당산동 121-163,37.5259002,126.9078096,2031,196
2032,(171-26),국회대로53길 24-7,서울특별시 영등포구 당산동 171-26,37.52771011,126.9068632,2032,156
2033,솔라티움시티 강남,강남대로53길 12,서울특별시 서초구 서초동 1327-34,37.49438742,127.0276865,2033,169
2034,서울대역해담채,관악로15길 23-12,서울특별시 관악구 봉천동 867-9,37.47978002,126.9507702,2034,298
2035,로사이신림,남부순환로181길 41,서울특별시 관악구 신림동 1423-3,37.48640399,126.9303869,2035,427
2036,관전GT타워,봉천로14길 12,서울특별시 관악구 신림동 1426-10,37.4874924,126.9297715,2036,431
2037,오아후,신림동5나길 8,서울특별시 관악구 신림동 1436-20,37.48586505,126.9270351,2037,481
2038,명지 페르마타,선유서로 15,서울특별시 영등포구 문래동5가 23-4,37.51718718,126.8838409,2038,139
2039,아멜리아,사평대로56길 5,서울특별시 서초구 서초동 1303-7,37.50350674,127.0232565,2039,323
2040,등촌동성원상떼뷰오피스텔,공항대로 291,서울특별시 강서구 등촌동 673-6,37.55878783,126.8400366,2040,97
2041,연희체스트빌,연희로 63,서울특별시 서대문구 연희동 218-1,37.56422764,126.9285169,2041,203
2042,(27-27),신촌역로 20,서울특별시 서대문구 대현동 27-27,37.55835829,126.9431278,2042,268
2043,나스빌,수표로 117,서울특별시 종로구 낙원동 212-0,37.5717628,126.9889094,2043,246
2044,파크힐,불광로14길 4-6,서울특별시 은평구 불광동 13-11,37.61889877,126.9331587,2044,173
2045,다우하임,장한로26가길 11,서울특별시 동대문구 장안동 344-2,37.57112426,127.0720206,2045,182
2046,동인 레반트 오피스텔,왕십리로 369,서울특별시 성동구 하왕십리동 903-3,37.56422058,127.0290135,2046,430
2047,브릿지하임,왕산로 29,서울특별시 동대문구 신설동 91-262,37.57689101,127.0267165,2047,185
2048,스타클래스,전농로 20,서울특별시 동대문구 답십리동 488-338,37.56647264,127.0565657,2048,299
2049,MK.TOWER,금하로 601,서울특별시 금천구 시흥동 998-9,37.454029,126.8982439,2049,164
2050,오스본 오피스텔,국회대로54길 41-6,서울특별시 영등포구 영등포동2가 28-153,37.5219168,126.9100586,2050,203
2051,SM 벨리체,시흥대로139길 19,서울특별시 금천구 독산동 151-3,37.47270114,126.8970373,2051,271
2052,포레비떼,국회대로54길 23,서울특별시 영등포구 영등포동7가 29-126,37.52348528,126.9087803,2052,234
2053,메이슨리치,국회대로56길 14,서울특별시 영등포구 영등포동7가 94-183,37.52392863,126.9093198,2053,211
2054,더봄,영중로24길 16,서울특별시 영등포구 영등포동5가 75-0,37.52189842,126.9069132,2054,282
2055,에스제이팰리스,국회대로54길 52,서울특별시 영등포구 영등포동2가 232-3,37.52109308,126.910024,2055,207
