NO,시군구,도로명,위도,경도,bus_count
1912,서울특별시 관악구 봉천동,관악로 208-32,37.4830052589793,126.954796108834,5
1913,서울특별시 마포구 동교동,신촌로8길 5,37.5567740416018,126.930910404931,3
1914,서울특별시 마포구 합정동,양화로 13,37.5488437579704,126.910553528523,5
1916,서울특별시 양천구 신정동,중앙로23길 30,37.5177086203898,126.853336222939,0
1917,서울특별시 서대문구 대현동,이화여대1길 32,37.5573421099833,126.943986146221,8
1922,서울특별시 강서구 화곡동,월정로18길 28,37.5291972499132,126.840445013027,4
1923,서울특별시 은평구 응암동,응암로14길 7,37.590356717538,126.918338329319,3
1930,서울특별시 마포구 아현동,신촌로34길 11,37.5566881593756,126.95467829913,3
1936,서울특별시 은평구 대조동,통일로67길 9-2,37.6106446806772,126.928322513889,10
1941,서울특별시 마포구 성산동,월드컵로34길 20,37.5654314241142,126.904395377457,4
1944,서울특별시 은평구 대조동,진흥로 177,37.608603524047,126.929275465137,7
1950,서울특별시 은평구 대조동,서오릉로 78,37.6073159783554,126.922345329688,3
1952,서울특별시 강서구 화곡동,강서로5가길 37-5,37.5287290262265,126.846031040721,2
1953,서울특별시 서대문구 연희동,성산로 309,37.5666372932701,126.924788342981,4
1955,서울특별시 강서구 등촌동,양천로60길 13,37.5579074446158,126.859491597692,0
1959,서울특별시 성북구 석관동,한천로66길 189,37.6131799672026,127.065648443542,4
1960,서울특별시 동대문구 제기동,고산자로 521,37.5861617043507,127.038152482473,0
1963,서울특별시 동대문구 용두동,청계천로 503,37.5706728054701,127.032424653546,3
1965,서울특별시 은평구 녹번동,통일로 635,37.6035067396377,126.934630829335,4
1967,서울특별시 용산구 원효로1가,원효로 268,37.5409342436127,126.970450620486,8
1968,서울특별시 성동구 성수동1가,아차산로1길 17,37.5495885346982,127.046100839544,2
1969,서울특별시 중랑구 상봉동,봉우재로33길 42-6,37.5941070798212,127.088436014102,3
1970,서울특별시 중랑구 망우동,망우로60길 37,37.5971024399369,127.094238280931,7
1976,서울특별시 노원구 공릉동,화랑로 465,37.6191785496631,127.078914107757,5
1978,서울특별시 동대문구 장안동,장한로 110,37.5702242447318,127.070844551789,0
1981,서울특별시 동대문구 장안동,천호대로83길 16,37.5629020645075,127.064829778323,2
1982,서울특별시 동대문구 장안동,한천로2길 94,37.5622620886098,127.063667393625,3
1988,서울특별시 성동구 용답동,자동차시장1길 41,37.5611550086879,127.062364632488,2
1989,서울특별시 종로구 충신동,율곡로14길 15-3,37.575406898826,127.003161888595,4
1990,서울특별시 동대문구 답십리동,전농로 33,37.5679152250143,127.056743483805,1
2002,서울특별시 송파구 문정동,법원로4길 17,37.4945786796797,127.011536342976,3
2003,서울특별시 송파구 문정동,송파대로 141,37.4827982488674,127.123339910507,2
2013,서울특별시 송파구 거여동,위례서로 240,37.4858928269042,127.141978083973,5
2016,서울특별시 강동구 성내동,천호옛17길 17-4,37.5371090387064,127.124734215582,7
2019,서울특별시 강동구 성내동,올림픽로62길 5-8,37.5367700810606,127.123363238057,4
2021,서울특별시 강동구 길동,진황도로 81,37.5367040128134,127.135707130269,3
2027,서울특별시 구로구 천왕동,오리로 1149,37.4866176885737,126.838255231876,6
2029,서울특별시 금천구 가산동,가산로9길 17,37.4767951922632,126.891055247366,11
2030,서울특별시 구로구 오류동,경인로22길 49,37.4963545900929,126.84642027301,3
2039,서울특별시 금천구 시흥동,금하로5길 18,37.454311416513,126.898186813648,8
2041,서울특별시 구로구 구로동,가마산로27길 11-7,37.4971544083287,126.891399085636,4
2042,서울특별시 구로구 구로동,구로중앙로 107,37.4982098555686,126.885865008429,3
2044,서울특별시 강서구 방화동,양천로 28,37.5723030060453,126.806994113323,2
2048,서울특별시 영등포구 영등포동2가,버드나루로 23,37.52071050315,126.912041065192,4
2054,서울특별시 관악구 봉천동,관악로17길 25,37.4806955912288,126.95025710316,7
2055,서울특별시 강남구 대치동,영동대로85길 20,37.5070283754714,127.061683727526,6
2066,서울특별시 영등포구 당산동2가,영등포로22길 5,37.5208630674333,126.894572053283,5
2068,서울특별시 영등포구 양평동3가,선유로35길 25,37.5275264081298,126.887708062226,0
2069,서울특별시 영등포구 양평동1가,선유로 113,37.5240439680089,126.890126030071,4
2070,서울특별시 영등포구 당산동5가,양평로 67,37.5349350800223,126.899311690856,8
2073,서울특별시 관악구 신림동,남부순환로 1592-7,37.4833902547433,126.927918846631,6
2076,서울특별시 관악구 신림동,관천로10길 33-8,37.4856137662118,126.92733565444,5
2077,서울특별시 관악구 신림동,신림동길 7-1,37.4872013649081,126.927813421746,4
2079,서울특별시 관악구 봉천동,남부순환로 1940,37.4764749310155,126.964287094969,4
2081,서울특별시 관악구 봉천동,쑥고개로 121,37.4791492883376,126.950064685615,8
